Movie,Tags,Rating,Meta_score,Preview,Stars,Director,Writer
The Shawshank Redemption,"Cinematography,Back to top,Authentic emotion,Narration,Drama,Emotional weight,Inspirational,Epic,Prison Drama,Enduring legacy,Period Drama,Performance,Character development,Friendship",9.3,82,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","Bob Gunton,Tim Robbins,Morgan Freeman",,
12 Angry Men,"Back to top,Legal Drama,Authentic emotion,Writing,Drama,Direction,Suspenseful,Great ensemble,Psychological Drama,Social commentary,Morality,Dramatic tension,Crime,Thought-provoking",9.0,97,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Martin Balsam,Henry Fonda,Lee J. Cobb",,
The Godfather Part II,"Duality,Legacy,Cinematography,Inner conflict,Back to top,Family dynamics,Drama,Narrative complexity,Production design,Epic,Gangster,Atmospheric,Tragedy,Morality,Character development,Crime",9.0,90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Robert De Niro,Al Pacino,Robert Duvall",,
The Godfather,"Cinematography,Back to top,Authentic emotion,Family dynamics,Drama,Direction,Narrative complexity,Iconic performance,Epic,Gangster,Atmospheric,Tragedy,Enduring legacy,Character development,Crime,Iconic lines",9.2,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando,Al Pacino,James Caan",,
The Dark Knight,"Standout performance,Action Epic,Cinematography,Pacing,Back to top,Drama,Direction,Action sequences,Epic,Philosophical elements,Tragedy,Superhero,Dark tone,Adaptation,Character development,Crime,Action,Thriller",9.1,85,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","Aaron Eckhart,Heath Ledger,Christian Bale",,
The Silence of the Lambs,"Back to top,Drama,Psychological Horror,Thrilling,Police Procedural,Iconic lines,Chemistry,Thriller,Direction,Iconic performance,Psychological Thriller,Atmospheric,Horror,Performance,Serial Killer,Suspenseful,Psychological Drama,Crime,Psychological depth",8.6,86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jodie Foster,Anthony Hopkins,Scott Glenn",,
Se7en,"Cinematography,Back to top,Religious themes,Drama,Thrilling,Police Procedural,Cop Drama,Hard-boiled Detective,Psychological Thriller,Atmospheric,Dark tone,Mystery,Tragedy,Performance,Serial Killer,Suspenseful,Psychological Drama,Philosophical elements,Social commentary,Crime",8.6,65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Brad Pitt,Kevin Spacey,Morgan Freeman",,
It's a Wonderful Life,"Back to top,Religious themes,Family dynamics,Drama,Heartfelt,Nostalgic,Family,Feel-Good Romance,Holiday Family,Supernatural Fantasy,Holiday,Meaning of life,Holiday Romance,Fantasy,Inspirational,Friendship,Romance,Traditional values,Psychological Drama,Social commentary",8.6,89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Donna Reed,James Stewart,Lionel Barrymore",,
One Flew Over the Cuckoo's Nest,"Freedom,Back to top,Human experience,Drama,Allegorical elements,Psychological Drama,Iconic performance,Medical Drama,Mental health,Social commentary,Adaptation,Performance,Dramatic tension",8.7,84,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.","Michael Berryman,Jack Nicholson,Louise Fletcher",,
Goodfellas,"Cinematography,Soundtrack,Rewatchable,Authentic emotion,Back to top,Dark humor,Drama,Biography,Direction,Docudrama,Iconic performance,Gangster,True Crime,Enduring legacy,Character development,Crime,Chemistry",8.7,92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Robert De Niro,Ray Liotta,Joe Pesci",,
