Movie,Year,Tags,Rating,Meta_score,Preview,Stars,Directors,Writers,Link
The Shawshank Redemption,Cast & crew,"Drama,Friendship,Back to top,Cinematography",9.3,82,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","Bob Gunton,Tim Robbins,Morgan Freeman",Frank Darabont,"Frank Darabont,Stephen King",https://www.imdb.com//title/tt0111161/?ref_=chttp_t_1
12 Angry Men,Cast & crew,"Drama,Dramatic tension,Social commentary,Legal Drama",9.0,97,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Martin Balsam,Lee J. Cobb,Henry Fonda",Sidney Lumet,N/A,https://www.imdb.com//title/tt0050083/?ref_=chttp_t_5
The Godfather,Cast & crew,"Drama,Iconic lines,Cinematography,Enduring legacy",9.2,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando,James Caan,Al Pacino",Francis Ford Coppola,"Mario Puzo,,Writers,Francis Ford Coppola",https://www.imdb.com//title/tt0068646/?ref_=chttp_t_2
The Godfather Part II,Cast & crew,"Drama,Duality,Cinematography,Family dynamics",9.0,90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Robert De Niro,Al Pacino,Robert Duvall",Francis Ford Coppola,"Mario Puzo,,Writers,Francis Ford Coppola",https://www.imdb.com//title/tt0071562/?ref_=chttp_t_4
The Dark Knight,Cast & crew,"Drama,Thriller,Dark tone,Standout performance",9.1,85,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","Aaron Eckhart,Heath Ledger,Christian Bale",Christopher Nolan,",Jonathan Nolan,David S. Goyer,Christopher Nolan,Writers",https://www.imdb.com//title/tt0468569/?ref_=chttp_t_3
Saving Private Ryan,Cast & crew,"Drama,War Epic,Iconic opening,Cinematography",8.6,91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.","Tom Sizemore,Matt Damon,Tom Hanks",Steven Spielberg,N/A,https://www.imdb.com//title/tt0120815/?ref_=chttp_t_24
The Green Mile,Cast & crew,"Drama,Dramatic tension,Friendship,Social commentary",8.6,61,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,"Michael Clarke Duncan,David Morse,Tom Hanks",Frank Darabont,"Frank Darabont,Stephen King",https://www.imdb.com//title/tt0120689/?ref_=chttp_t_25
Seven Samurai,Cast & crew,"Drama,Social commentary,Action,Cinematography",8.6,98,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.","Toshirô Mifune,Keiko Tsushima,Takashi Shimura",Akira Kurosawa,"Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni",https://www.imdb.com//title/tt0047478/?ref_=chttp_t_23
The Silence of the Lambs,Cast & crew,"Psychological Thriller,Suspenseful,Drama,Direction",8.6,86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Scott Glenn,Jodie Foster,Anthony Hopkins",Jonathan Demme,"Thomas Harris,Ted Tally",https://www.imdb.com//title/tt0102926/?ref_=chttp_t_22
Se7en,Cast & crew,"Psychological Thriller,Dark tone,Suspenseful,Hard-boiled Detective",8.6,65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Brad Pitt,Kevin Spacey,Morgan Freeman",David Fincher,N/A,https://www.imdb.com//title/tt0114369/?ref_=chttp_t_20
